變異點編號,權責單位,查證結果,變異類型,latitude,longitude,created,modified
11011405001,海洋,合法,整地,23.255896519816600,119.669402266254000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
80111401022,澎湖縣,合法,其他,23.666442494884500,119.594113603435000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111401005,澎湖縣,合法,整地,23.578825334196100,119.568651969662000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111401015,澎湖縣,合法,其他,23.550230569151500,119.619691465137000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111401016,澎湖縣,合法,其他,23.533519868478900,119.605940902235000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111401017,澎湖縣,合法,新增建物,23.536655107164100,119.601923707327000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111401018,澎湖縣,合法,整地,23.523029725497000,119.595957354144000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111401019,澎湖縣,合法,新增建物,23.521193426357000,119.607540082896000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111402018,澎湖縣,合法,整地,23.551445002852600,119.616233047020000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111403011,澎湖縣,合法,新增建物,23.584864943737800,119.570127343337000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111403012,澎湖縣,違規,其他,23.579440959926400,119.567307147364000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111403021,澎湖縣,合法,整地,23.567303370174100,119.590459743991000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111403022,澎湖縣,合法,整地,23.559433921928900,119.585659224617000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111404003,澎湖縣,合法,整地,23.588640152782100,119.582694510200000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111404010,澎湖縣,合法,新增建物,23.559588058080700,119.588664583370000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111404012,澎湖縣,合法,新增建物,23.531869747139700,119.607561204993000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111404013,澎湖縣,合法,整地,23.547365631565600,119.616471644820000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111404014,澎湖縣,合法,作物變化,23.518328257044600,119.588611071487000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111405003,澎湖縣,違規,傾倒廢棄物,23.582967493654900,119.577814505609000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X01114051009,澎湖縣,自然變化,無明顯變異,23.550573066222500,119.592622888605000,"2025-06-19 07:54:11","2025-06-20 02:00:18"
X0111406006,澎湖縣,合法,新增建物,23.556503739324200,119.618599733017000,"2025-06-25 02:00:15",
X0111406008,澎湖縣,違規,其他,23.553235021986300,119.629555747808000,"2025-06-25 02:00:15",
X0111407010,澎湖縣,合法,整地,23.580274817666900,119.610721419476000,"2025-07-11 02:00:16",
X0111407011,澎湖縣,合法,新增建物,23.571241345553900,119.597958427061000,"2025-07-11 02:00:16",
X0111407013,澎湖縣,違規,堆置土石方,23.537955897472800,119.613008287258000,"2025-07-11 02:00:16",
